"","run","channel","cell_type","sample_type","batch"
"CBIO725_10_128N","CBIO725_10","128N","THP1_dif","SCeq","CBIO725"
"CBIO725_10_128C","CBIO725_10","128C","THP1_dif","SCeq","CBIO725"
"CBIO725_10_129N","CBIO725_10","129N","THP1","SCeq","CBIO725"
"CBIO725_10_129C","CBIO725_10","129C","U937","SCeq","CBIO725"
"CBIO754_16_128N","CBIO754_16","128N","blank","SC","CBIO754"
"CBIO754_16_128C","CBIO754_16","128C","THP1","SC","CBIO754"
"CBIO754_16_129N","CBIO754_16","129N","U937_dif","SC","CBIO754"
"CBIO754_16_129C","CBIO754_16","129C","blank","SC","CBIO754"
